id,title,likes,dislikes,like/dislikes_ratio,difficulty
1465,Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,890,213,4.178403755868545,Medium
370,Range Addition,888,39,22.76923076923077,Medium
1347,Minimum Number of Steps to Make Two Strings Anagram,884,51,17.333333333333332,Medium
487,Max Consecutive Ones II,878,14,62.714285714285715,Medium
638,Shopping Offers,876,579,1.5129533678756477,Medium
1530,Number of Good Leaf Nodes Pairs,875,19,46.05263157894737,Medium
184,Department Highest Salary,875,153,5.718954248366013,Medium
1334,Find the City With the Smallest Number of Neighbors at a Threshold Distance,870,48,18.125,Medium
676,Implement Magic Dictionary,867,169,5.1301775147929,Medium
861,Score After Flipping Matrix,864,157,5.503184713375796,Medium
71,Simplify Path,863,231,3.735930735930736,Medium
954,Array of Doubled Pairs,861,102,8.441176470588236,Medium
837,New 21 Game,859,554,1.5505415162454874,Medium
898,Bitwise ORs of Subarrays,858,164,5.2317073170731705,Medium
945,Minimum Increment to Make Array Unique,851,37,23.0,Medium
388,Longest Absolute File Path,847,1922,0.44068678459937566,Medium
177,Nth Highest Salary,844,568,1.4859154929577465,Medium
988,Smallest String Starting From Leaf,843,154,5.474025974025974,Medium
855,Exam Room,843,333,2.5315315315315314,Medium
255,Verify Preorder Sequence in Binary Search Tree,834,65,12.830769230769231,Medium
916,Word Subsets,833,115,7.243478260869566,Medium
549,Binary Tree Longest Consecutive Sequence II,832,63,13.206349206349206,Medium
1381,Design a Stack With Increment Operation,830,62,13.387096774193548,Medium
364,Nested List Weight Sum II,827,241,3.4315352697095434,Medium
1457,Pseudo-Palindromic Paths in a Binary Tree,824,29,28.413793103448278,Medium
776,Split BST,824,80,10.3,Medium
1552,Magnetic Force Between Two Balls,821,68,12.073529411764707,Medium
1145,Binary Tree Coloring Game,817,158,5.170886075949367,Medium
1372,Longest ZigZag Path in a Binary Tree,814,16,50.875,Medium
1104,Path In Zigzag Labelled Binary Tree,802,228,3.517543859649123,Medium
1102,Path With Maximum Minimum Value,793,85,9.329411764705883,Medium
180,Consecutive Numbers,789,164,4.810975609756097,Medium
470,Implement Rand10() Using Rand7(),786,257,3.0583657587548636,Medium
1472,Design Browser History,784,79,9.924050632911392,Medium
1574,Shortest Subarray to be Removed to Make Array Sorted,783,22,35.59090909090909,Medium
1020,Number of Enclaves,783,29,27.0,Medium
1282,Group the People Given the Group Size They Belong To,775,422,1.8364928909952607,Medium
1509,Minimum Difference Between Largest and Smallest Value in Three Moves,774,107,7.233644859813084,Medium
298,Binary Tree Longest Consecutive Sequence,770,183,4.2076502732240435,Medium
967,Numbers With Same Consecutive Differences,769,126,6.103174603174603,Medium
8,String to Integer (atoi),768,2094,0.3667621776504298,Medium
582,Kill Process,765,15,51.0,Medium
616,Add Bold Tag in String,765,120,6.375,Medium
823,Binary Trees With Factors,762,98,7.775510204081633,Medium
536,Construct Binary Tree from String,755,124,6.088709677419355,Medium
1057,Campus Bikes,751,135,5.562962962962963,Medium
1937,Maximum Number of Points with Cost,742,31,23.93548387096774,Medium
186,Reverse Words in a String II,740,125,5.92,Medium
609,Find Duplicate File in System,736,866,0.8498845265588915,Medium
1055,Shortest Way to Form String,731,43,17.0,Medium
932,Beautiful Array,728,1030,0.7067961165048544,Medium
1191,K-Concatenation Maximum Sum,725,69,10.507246376811594,Medium
1344,Angle Between Hands of a Clock,724,157,4.611464968152866,Medium
1267,Count Servers that Communicate,723,65,11.123076923076923,Medium
790,Domino and Tromino Tiling,718,348,2.0632183908045976,Medium
418,Sentence Screen Fitting,716,360,1.988888888888889,Medium
1310,XOR Queries of a Subarray,714,28,25.5,Medium
1247,Minimum Swaps to Make Strings Equal,711,194,3.6649484536082473,Medium
708,Insert into a Sorted Circular Linked List,711,501,1.4191616766467066,Medium
1054,Distant Barcodes,709,32,22.15625,Medium
1135,Connecting Cities With Minimum Cost,707,38,18.605263157894736,Medium
311,Sparse Matrix Multiplication,704,265,2.6566037735849055,Medium
1590,Make Sum Divisible by P,701,33,21.242424242424242,Medium
369,Plus One Linked List,700,38,18.42105263157895,Medium
1286,Iterator for Combination,682,51,13.372549019607844,Medium
433,Minimum Genetic Mutation,682,84,8.119047619047619,Medium
361,Bomb Enemy,679,86,7.895348837209302,Medium
1605,Find Valid Matrix Given Row and Column Sums,676,23,29.391304347826086,Medium
390,Elimination Game,672,461,1.4577006507592192,Medium
1424,Diagonal Traverse II,670,70,9.571428571428571,Medium
1387,Sort Integers by The Power Value,664,80,8.3,Medium
742,Closest Leaf in a Binary Tree,664,124,5.354838709677419,Medium
826,Most Profit Assigning Work,663,94,7.053191489361702,Medium
1695,Maximum Erasure Value,661,12,55.083333333333336,Medium
244,Shortest Word Distance II,660,193,3.4196891191709846,Medium
223,Rectangle Area,658,951,0.6919032597266036,Medium
397,Integer Replacement,655,399,1.6416040100250626,Medium
1291,Sequential Digits,652,57,11.43859649122807,Medium
1497,Check If Array Pairs Are Divisible by k,647,51,12.686274509803921,Medium
1551,Minimum Operations to Make Array Equal,647,113,5.725663716814159,Medium
737,Sentence Similarity II,645,39,16.53846153846154,Medium
306,Additive Number,644,577,1.1161178509532061,Medium
1234,Replace the Substring for Balanced String,641,138,4.644927536231884,Medium
247,Strobogrammatic Number II,641,162,3.95679012345679,Medium
820,Short Encoding of Words,638,243,2.625514403292181,Medium
1493,Longest Subarray of 1's After Deleting One Element,633,12,52.75,Medium
1328,Break a Palindrome,629,406,1.5492610837438423,Medium
971,Flip Binary Tree To Match Preorder Traversal,627,226,2.774336283185841,Medium
777,Swap Adjacent in LR String,624,564,1.1063829787234043,Medium
1120,Maximum Average Subtree,623,21,29.666666666666668,Medium
985,Sum of Even Numbers After Queries,622,204,3.049019607843137,Medium
1546,Maximum Number of Non-Overlapping Subarrays With Sum Equals Target,619,13,47.61538461538461,Medium
353,Design Snake Game,619,235,2.6340425531914895,Medium
1461,Check If a String Contains All Binary Codes of Size K,618,65,9.507692307692308,Medium
1300,Sum of Mutated Array Closest to Target,618,81,7.62962962962963,Medium
667,Beautiful Arrangement II,616,930,0.6623655913978495,Medium
1375,Bulb Switcher III,615,96,6.40625,Medium
1626,Best Team With No Conflicts,613,26,23.576923076923077,Medium
365,Water and Jug Problem,608,987,0.6160081053698075,Medium
291,Word Pattern II,606,47,12.893617021276595,Medium
1481,Least Number of Unique Integers after K Removals,605,54,11.203703703703704,Medium
1366,Rank Teams by Votes,604,65,9.292307692307693,Medium
1689,Partitioning Into Minimum Number Of Deci-Binary Numbers,600,440,1.3636363636363635,Medium
1156,Swap For Longest Repeated Character Substring,598,57,10.491228070175438,Medium
1379,Find a Corresponding Node of a Binary Tree in a Clone of That Tree,592,791,0.7484197218710493,Medium
562,Longest Line of Consecutive One in Matrix,590,93,6.344086021505376,Medium
1201,Ugly Number III,586,355,1.6507042253521127,Medium
1856,Maximum Subarray Min-Product,583,30,19.433333333333334,Medium
468,Validate IP Address,580,2190,0.2648401826484018,Medium
1524,Number of Sub-arrays With Odd Sum,578,25,23.12,Medium
1712,Ways to Split Array Into Three Subarrays,575,56,10.267857142857142,Medium
948,Bag of Tokens,574,286,2.006993006993007,Medium
593,Valid Square,574,673,0.8528974739970282,Medium
510,Inorder Successor in BST II,573,28,20.464285714285715,Medium
1456,Maximum Number of Vowels in a Substring of Given Length,571,32,17.84375,Medium
1462,Course Schedule IV,570,44,12.954545454545455,Medium
1414,Find the Minimum Number of Fibonacci Numbers Whose Sum Is K,567,46,12.326086956521738,Medium
1690,Stone Game VII,563,120,4.691666666666666,Medium
1657,Determine if Two Strings Are Close,556,32,17.375,Medium
1706,Where Will the Ball Fall,551,43,12.813953488372093,Medium
1138,Alphabet Board Path,551,128,4.3046875,Medium
1834,Single-Threaded CPU,549,80,6.8625,Medium
1679,Max Number of K-Sum Pairs,548,22,24.90909090909091,Medium
1419,Minimum Number of Frogs Croaking,548,36,15.222222222222221,Medium
781,Rabbits in Forest,546,440,1.240909090909091,Medium
1415,The k-th Lexicographical String of All Happy Strings of Length n,545,15,36.333333333333336,Medium
750,Number Of Corner Rectangles,543,82,6.621951219512195,Medium
1529,Bulb Switcher IV,539,27,19.962962962962962,Medium
1654,Minimum Jumps to Reach Home,532,113,4.707964601769912,Medium
1727,Largest Submatrix With Rearrangements,523,17,30.764705882352942,Medium
1136,Parallel Courses,522,15,34.8,Medium
1245,Tree Diameter,520,11,47.27272727272727,Medium
624,Maximum Distance in Arrays,518,59,8.779661016949152,Medium
1229,Meeting Scheduler,516,23,22.434782608695652,Medium
251,Flatten 2D Vector,513,286,1.7937062937062938,Medium
447,Number of Boomerangs,510,802,0.6359102244389028,Medium
